exchange;name;api_name;base_currency;quote_currency
Binance;BTCUSDT;BTCUSDT;BTC;USDT
Binance;BTCUSDC;BTCUSDC;BTC;USDC
Binance;ETHUSDT;ETHUSDT;ETH;USDT
Binance;ETHUSDC;ETHUSDC;ETH;USDC
Kraken;BTCUSDT;XBTUSDT;BTC;USDT
Kraken;BTCUSDC;XBTUSDC;BTC;USDC
Kraken;BTCUSD;XBTUSD;BTC;USD
Kraken;ETHUSDT;ETHUSDT;ETH;USDT
Kraken;ETHUSDC;ETHUSDC;ETH;USDC
Kraken;ETHUSD;ETHUSD;ETH;USD
Bitfinex;BTCUSD;btcusd;BTC;USD
Bitfinex;ETHUSD;ethusd;ETH;USD
Poloniex;BTCUSDT;BTC_USDT;BTC;USDT
Poloniex;BTCUSDC;BTC_USDC;BTC;USDC
Poloniex;ETHUSDT;ETH_USDT;ETH;USDT
Poloniex;ETHUSDC;ETH_USDC;ETH;USDC
Bitstamp;BTCUSDT;btcusdt;BTC;USDT
Bitstamp;BTCUSDC;btcusdc;BTC;USDC
Bitstamp;BTCUSD;btcusd;BTC;USD
Bitstamp;ETHUSDT;ethusdt;ETH;USDT
Bitstamp;ETHUSDC;ethusdc;ETH;USDC
Bitstamp;ETHUSD;ethusd;ETH;USD
Kucoin;BTCUSDT;BTC-USDT;BTC;USDT
Kucoin;BTCUSDC;BTC-USDC;BTC;USDC
Kucoin;ETHUSDT;ETH-USDT;ETH;USDT
Kucoin;ETHUSDC;ETH-USDC;ETH;USDC
Gate.io;BTCUSDT;BTC_USDT;BTC;USDT
Gate.io;BTCUSDC;BTC_USDC;BTC;USDC
Gate.io;ETHUSDT;ETH_USDT;ETH;USDT
Gate.io;ETHUSDC;ETH_USDC;ETH;USDC
Coinbase Exchange;BTCUSDT;na;BTC;USDT
Coinbase Exchange;BTCUSDC;na;BTC;USDC
Coinbase Exchange;BTCUSD;na;BTC;USD
Coinbase Exchange;ETHUSDT;na;ETH;USDT
Coinbase Exchange;ETHUSDC;na;ETH;USDC
Coinbase Exchange;ETHUSD;na;ETH;USD
OKX;BTCUSDT;na;BTC;USDT
OKX;BTCUSDC;na;BTC;USDC
OKX;BTCUSD;na;BTC;USD
OKX;ETHUSDT;na;ETH;USDT
OKX;ETHUSDC;na;ETH;USDC
OKX;ETHUSD;na;ETH;USD
Bybit;BTCUSDT;na;BTC;USDT
Bybit;BTCUSDC;na;BTC;USDC
Bybit;BTCUSD;na;BTC;USD
Bybit;ETHUSDT;na;ETH;USDT
Bybit;ETHUSDC;na;ETH;USDC
Bybit;ETHUSD;na;ETH;USD
Bitget;BTCUSDT;na;BTC;USDT
Bitget;BTCUSDC;na;BTC;USDC
Bitget;BTCUSD;na;BTC;USD
Bitget;ETHUSDT;na;ETH;USDT
Bitget;ETHUSDC;na;ETH;USDC
Bitget;ETHUSD;na;ETH;USD
